Name,Risk
 MARIANO'S #8522  ,Risk 1 (High)
 CHARTWELLS ,Risk 1 (High)
  DANNY'S EGGHEAD INC. ,Risk 1 (High)
  EL RANCHITO FOOD MARKET ,Risk 1 (High)
 TAQUERIA GUERRERO ,Risk 1 (High)
 Starbuck's Coffee #27509 ,Risk 2 (Medium)
  KENNEDY SUB   ,Risk 2 (Medium)
 EL FARO CARIBBEAN SEAFOOD   ,Risk 1 (High)
  SUSHI WORLD   ,Risk 1 (High)
   SANTULLO'S  ,Risk 1 (High)
 ENGLEWOOD MARKET   ,Risk 2 (Medium)
 COFFEE JOINT ,Risk 2 (Medium)
 BROASTED CHICKEN ROYALE ,Risk 1 (High)
  JOE'S FOOD & LIQUOR ,Risk 1 (High)
  IN & OUT MART ,Risk 2 (Medium)
   ROSELAND COMMUNITY GOOD NEWS DAY CARE CORP.  ,Risk 1 (High)
  CHRUCHVIEW SUPPORTIVE LIVING COMMUNITY   ,Risk 1 (High)
   TACO BELL #30408 ,Risk 1 (High)
 G & S FOOD MART INC ,Risk 2 (Medium)
   MAKKI MART CORP  ,All
   YUMMY BUFFET ,Risk 1 (High)
  FLOYD'S PUB  ,Risk 1 (High)
 CHARTWELLS ,Risk 1 (High)
   NANCY'S HOME OF STUFFED PIZZA   ,Risk 1 (High)
 LEADER BAR  ,Risk 1 (High)
  TASTY CHINA   ,Risk 1 (High)
  CHARTWELLS  ,Risk 1 (High)
  PERMAN WINE SELECTION   ,Risk 3 (Low)
  ONE STOP FOOD MARKET ,Risk 2 (Medium)
  MARIANO'S #8538 ,Risk 1 (High)
   FUEL STAR  ,Risk 3 (Low)
 ZA'ATAR MED GRILL  ,Risk 1 (High)
 D AND Y GROCERY  ,Risk 2 (Medium)
   BROOKLYN BOULDERS CHICAGO  ,Risk 3 (Low)
   ST. MARY'S CHURCH ,Risk 1 (High)
 CHICAGO INTERNATIONAL CHARTER SCHOOL BUCKTOWN ,Risk 1 (High)
   SUGAR FACTORY   ,Risk 1 (High)
 IYANZE   ,Risk 1 (High)
  SEE THRU CHINESE KITCHEN   ,Risk 1 (High)
   SWEET FREAKS   ,Risk 2 (Medium)
 CHARTWELLS  ,Risk 1 (High)
   Snappy Convenience Center #7  ,Risk 1 (High)
 EL FARO CARIBBEAN SEAFOOD ,Risk 1 (High)
 CHICAGO STYLE CONCESSIONS   ,Risk 1 (High)
 CHARTWELLS   ,Risk 1 (High)
  CHARTWELLS ,Risk 1 (High)
  CHARTWELLS ,Risk 1 (High)
 TWILIGHT LOUNGE   ,Risk 3 (Low)
   THE GRAND SANDWICH   ,Risk 1 (High)
 INFUSE RIVER NORTH POINT  ,Risk 2 (Medium)
   L & G RESTAURANT  ,Risk 1 (High)
 TWILIGHT LOUNGE ,Risk 3 (Low)
  NEW CHINA RESTAURANT 2   ,Risk 1 (High)
  CITGO   ,Risk 2 (Medium)
"  ROOSEVELT CONNECT MART, INC  ",Risk 3 (Low)
   MINGHIN CUISINE KITCHEN   ,Risk 1 (High)
   NEW CHINA 2   ,Risk 1 (High)
  KHAN DOLLAR STATION ,Risk 3 (Low)
   CHARTWELLS   ,Risk 1 (High)
  FOSTER & BROADWAY BP/AUTOTECH  ,Risk 3 (Low)
   Rizzo's Bar & Inn   ,Risk 1 (High)
 Rizzo's Bar & Inn ,Risk 1 (High)
  SAVE-A-LOT #882 ,Risk 2 (Medium)
   MEDITERRANEAN EXPRESS ,Risk 2 (Medium)
   YUMMY BUFFET ,Risk 1 (High)
 HAPPY GROCERY & DOLLAR  ,Risk 3 (Low)
  ARDEN RESTAURANT ,Risk 1 (High)
   CHARTWELLS  ,Risk 1 (High)
 TBD ,Risk 3 (Low)
   MAGGIE GYROS & CHICKEN ,Risk 1 (High)
 CHARTWELLS   ,Risk 1 (High)
  WOLCOTT TAP ,Risk 3 (Low)
  WOLCOTT TAP  ,Risk 1 (High)
  3JJJ'S BETTER TASTE JAMAICAN JERK RESTAURANT   ,Risk 3 (Low)
"   ZACATACOS, II. INC ",Risk 1 (High)
  SHANGHAI INN RESTAURANT   ,Risk 1 (High)
 ONESTI PIZZERIA INC  ,Risk 1 (High)
 DROPSHOP COFFEE AND SNACK ,Risk 1 (High)
 3JJJ'S BETTER TASTE JAMAICAN JERK RESTAURANT   ,Risk 3 (Low)
 ARAMARK-FRESHII  ,Risk 1 (High)
  AFC SUSHI @ JEWEL OSCO #3224  ,Risk 1 (High)
   NORMAN'S   ,Risk 1 (High)
 MCCB  ,Risk 1 (High)
  RESTAURANTE FINA ESTAMPA  ,Risk 1 (High)
   MARRIOT MARQUIS CHICAGO   ,Risk 1 (High)
  THE MAP ROOM ,Risk 2 (Medium)
"   BEREKE, INC.. ",Risk 1 (High)
   JEWEL FOOD STORE #3224   ,Risk 1 (High)
 AIR FRANCE   ,Risk 3 (Low)
 GABY'S PANADERIA Y PIZZERIA ,Risk 1 (High)
  AIR FRANCE   ,Risk 2 (Medium)
  MARRIOT MARQUIS CHICAGO ,Risk 1 (High)
  MACIAS PRODUCE INC. ,Risk 1 (High)
   JR'S RED HOTS ,Risk 2 (Medium)
 OLIVIA'S MARKET   ,Risk 2 (Medium)
  SUBWAY SANDWICHES ,Risk 1 (High)
 LIBERO CAFE ,Risk 1 (High)
" CHECKERS DRIVE-IN RESTAURANTS, INC   ",Risk 2 (Medium)
 Rizzo's Bar & Inn ,Risk 1 (High)
 GRILL 87  ,Risk 1 (High)
 KFC ,Risk 1 (High)
 BURGER KING   ,Risk 2 (Medium)
   TAQUERIA EL AMIGO INC.   ,Risk 1 (High)
  PACO'S TACOS 2   ,Risk 1 (High)
   THE PICNIC BASKET  ,Risk 2 (Medium)
 TONALAPA MINI MART   ,Risk 3 (Low)
  CAFE MARBELLA   ,Risk 1 (High)
  Rizzo's Bar & Inn   ,Risk 1 (High)
   POPEYES ,Risk 1 (High)
"  NEW CHICAGO PAK SWEETS, INC   ",
"   TACO IN A BAG STORE 1, LLC ",Risk 1 (High)
 CAPTAIN HOOKS FISH & CHICKEN ,Risk 1 (High)
 SUBWAY  ,Risk 1 (High)
 MARRIOT MARQUIS CHICAGO   ,Risk 1 (High)
 MARRIOT MARQUIS CHICAGO ,Risk 1 (High)
   POLONIA FOOD & LIQUOR   ,Risk 3 (Low)
  MARRIOT MARQUIS CHICAGO  ,Risk 1 (High)
  POLONIA FOOD & LIQUOR  ,Risk 3 (Low)
  EL TACO SABROSO #1 INC  ,Risk 1 (High)
 STONY ISLAND DISCOUNT  ,All
   MARRIOT MARQUIS CHICAGO  ,Risk 1 (High)
   DECOLORES RESTAURANT ,Risk 3 (Low)
 DECOLORES RESTAURANT   ,Risk 1 (High)
"  ROOSEVELT CONNECT MART, INC ",Risk 3 (Low)
  METROPOLITAN BREWING   ,Risk 3 (Low)
  LA HACIENDITA TAQUERIA INC  ,Risk 1 (High)
"  SMARTY PANTS EARLY LEARNING CENTER, INC. ",Risk 1 (High)
 MARRIOT MARQUIS CHICAGO  ,Risk 1 (High)
  SUSHI + ,Risk 1 (High)
 DELLA D'S SOUL KITCHEN LLC  ,Risk 2 (Medium)
  SHRIMP'S FISH CHICKEN  ,Risk 2 (Medium)
   FAMILY FRESH MEAT MART   ,Risk 2 (Medium)
 THE HARDING TAVERN  ,Risk 1 (High)
   SUSHI +  ,Risk 1 (High)
  PARTS AND LABOR   ,Risk 1 (High)
  GREAT EXPECTATIONS LEARNING ACADEMY INCORPORATED ,Risk 1 (High)
   THE BEER TEMPLE ,Risk 3 (Low)
  THE BEER TEMPLE  ,Risk 3 (Low)
 FAT ALBERT  ,Risk 1 (High)
" ACE COFFEE BAR, INC. ",Risk 1 (High)
  THE TIN LIZZIE   ,Risk 2 (Medium)
  GULF OIL OF 63RD  ,
 CONGRESS PIZZERIA ,Risk 1 (High)
 LE PITA FRESH   ,Risk 1 (High)
   SUKHADIA SWEETS & SNACKS   ,Risk 1 (High)
   HILDA'S KITCHEN INC.  ,Risk 1 (High)
  MCDONALD'S   ,Risk 2 (Medium)
 McDonalds   ,Risk 2 (Medium)
  CAPTAIN HOOKS OF DAN RYAN   ,Risk 2 (Medium)
 LA MICHOACANA THE GREEN PARTY INC. ,Risk 1 (High)
  LAWRENE FISH MARKET ,Risk 1 (High)
  MAYFAIR EARLY LEARNING   ,Risk 1 (High)
   Mia's Cafe   ,Risk 1 (High)
   EL VELERO DE NAYARIT  ,Risk 1 (High)
   BRIDGET MCNEILL'S ,Risk 1 (High)
   MARTINI CLUB ,Risk 1 (High)
